watershed,month,year,baseline,max_eff,habitat_type,proportion_change
Upper Sacramento River,12,1984,64.02243329621218,335.5617370843854,spawning,4.241314954897826
Upper Sacramento River,1,1985,63.30352105042811,78.04136271464702,spawning,0.23281235260955904
Upper Sacramento River,2,1985,63.49642774570696,78.04136271464702,spawning,0.22906698038494702
Upper Sacramento River,3,1985,63.34370994527785,78.04136271464702,spawning,0.2320301855080222
Upper Sacramento River,4,1985,61.93833308324854,89.45576287534323,spawning,0.44427139740925453
Upper Sacramento River,5,1985,53.273918728836485,338.9871937477019,spawning,5.3630985261876845
Upper Sacramento River,6,1985,37.366695519191666,338.9871937477019,spawning,8.071907190016223
Upper Sacramento River,7,1985,36.5696369192994,338.9871937477019,spawning,8.269635202990038
Upper Sacramento River,8,1985,45.74910679349888,315.4237475008357,spawning,5.894642750613409
Upper Sacramento River,9,1985,66.78910078143838,315.4237475008357,spawning,3.722682949917726
Upper Sacramento River,10,1985,66.57125990478659,343.3691416948747,spawning,4.157918630141261
Upper Sacramento River,11,1985,65.24582857505976,335.5617370843854,spawning,4.143037408105719
Upper Sacramento River,12,1985,63.2874454924882,335.5617370843854,spawning,4.302184887905049
Upper Sacramento River,1,1986,63.29950216094313,36.71138985926659,spawning,-0.42003667318069143
Upper Sacramento River,2,1986,7.208849400428299,36.71138985926659,spawning,4.0925449846525375
Upper Sacramento River,3,1986,13.904951256265534,36.71138985926659,spawning,1.640166742240433
Upper Sacramento River,4,1986,61.93833308324854,38.8779882317468,spawning,-0.37231135717694186
Upper Sacramento River,5,1986,60.995193192842834,225.61357068895924,spawning,2.69887459780081
Upper Sacramento River,6,1986,52.84297022271344,225.61357068895924,spawning,3.269509638426494
Upper Sacramento River,7,1986,46.94671893687213,225.61357068895924,spawning,3.8057367117036476
Upper Sacramento River,8,1986,50.437903439339514,315.4237475008357,spawning,5.253704575175066
Upper Sacramento River,9,1986,66.20674150135861,315.4237475008357,spawning,3.7642240102446816
Upper Sacramento River,10,1986,67.3641421617799,343.3691416948747,spawning,4.097209445200812
Upper Sacramento River,11,1986,49.313206604146366,335.5617370843854,spawning,5.804703246699244
Upper Sacramento River,12,1986,65.26654745802102,335.5617370843854,spawning,4.141404749503815
Upper Sacramento River,1,1987,63.367823282187715,78.04136271464702,spawning,0.23156136146756273
Upper Sacramento River,2,1987,63.35576661373278,78.04136271464702,spawning,0.23179572887894057
Upper Sacramento River,3,1987,63.24323770815346,78.04136271464702,spawning,0.2339874671626079
Upper Sacramento River,4,1987,64.00894335889149,89.45576287534323,spawning,0.3975510011745401
Upper Sacramento River,5,1987,48.79399075032925,338.9871937477019,spawning,5.947314383081373
